long_name,age_15,overall_15,age_16,overall_16,age_17,overall_17,age_18,overall_18,age_19,overall_19,age_20,overall_20,current_player_name,player_position,current_club,age_21,overall_21,overall_average,overall_21_predicted,age_22,age_23,age_24,overall_22_predicted,overall_23_predicted,overall_24_predicted
Henrikh Mkhitaryan,25.0,81.0,26.0,81.0,27.0,85.0,28.0,85.0,29.0,84.0,30.0,81.0,H. Mkhitaryan,Forward,Roma,31.0,80.0,80.5,80.29,32.0,33.0,34.0,80.08,79.93,79.82
Roberto Firmino Barbosa de Oliveira,22.0,81.0,23.0,82.0,24.0,82.0,25.0,83.0,26.0,86.0,27.0,86.0,Roberto Firmino,Forward,Liverpool,28.0,87.0,86.5,86.35,29.0,30.0,31.0,86.27,86.25,86.27
Giovani dos Santos Ramírez,25.0,81.0,26.0,79.0,27.0,79.0,28.0,79.0,29.0,77.0,30.0,76.0,G. dos Santos,Forward,Club América,31.0,73.0,74.5,74.35,32.0,33.0,34.0,74.14,73.99,73.88
Nuri Şahin,25.0,81.0,26.0,81.0,27.0,80.0,28.0,79.0,29.0,79.0,30.0,78.0,N. Şahin,Midfielder,Antalyaspor,31.0,75.0,76.5,76.33,32.0,33.0,34.0,76.12,75.97,75.86
Lars Bender,25.0,81.0,26.0,82.0,27.0,83.0,29.0,61.0,29.0,82.0,30.0,80.0,L. Bender,Defender,Bayer 04 Leverkusen,31.0,82.0,81.0,80.78,32.0,33.0,34.0,80.57,80.42,80.31
Wilfried Guemiand Bony,25.0,81.0,26.0,81.0,27.0,81.0,28.0,79.0,29.0,76.0,30.0,75.0,W. Bony,Forward,Al Ittihad,31.0,73.0,74.0,73.86,32.0,33.0,34.0,73.65,73.5,73.39
Gervais Lombe Yao Kouassi,27.0,81.0,28.0,80.0,29.0,80.0,30.0,79.0,31.0,77.0,32.0,78.0,Gervinho,Forward,Parma,33.0,78.0,78.0,77.73,34.0,35.0,36.0,77.43,77.2,77.01
Sven Bender,25.0,81.0,26.0,80.0,27.0,82.0,28.0,80.0,29.0,81.0,30.0,80.0,S. Bender,Defender,Bayer 04 Leverkusen,31.0,81.0,80.5,80.29,32.0,33.0,34.0,80.08,79.93,79.82
Luís Carlos Almeida da Cunha,27.0,81.0,28.0,82.0,29.0,83.0,30.0,83.0,31.0,80.0,32.0,80.0,Nani,Forward,Orlando City SC,33.0,80.0,80.0,79.7,34.0,35.0,36.0,79.4,79.16,78.96
Fernando Luiz Rosa,29.0,81.0,30.0,80.0,31.0,81.0,32.0,82.0,33.0,86.0,34.0,87.0,Fernandinho,Defender,Manchester City,35.0,84.0,85.5,85.01,36.0,37.0,38.0,84.58,84.22,83.9
Roberto Soldado Rillo,29.0,81.0,30.0,79.0,31.0,80.0,32.0,78.0,33.0,78.0,34.0,76.0,Soldado,Forward,Granada CF,35.0,76.0,76.0,75.69,36.0,37.0,38.0,75.33,75.03,74.77
Gary Cahill,28.0,81.0,29.0,83.0,30.0,83.0,31.0,84.0,32.0,81.0,33.0,77.0,G. Cahill,Defender,Crystal Palace,34.0,77.0,77.0,76.71,35.0,36.0,37.0,76.38,76.11,75.88
Laurent Koscielny,28.0,81.0,29.0,83.0,30.0,85.0,31.0,84.0,32.0,82.0,33.0,81.0,L. Koscielny,Defender,FC Girondins de Bordeaux,34.0,79.0,80.0,79.66,35.0,36.0,37.0,79.32,79.04,78.8
Martin Škrtel,29.0,81.0,30.0,81.0,31.0,82.0,32.0,81.0,33.0,81.0,34.0,79.0,M. Škrtel,Defender,Medipol Başakşehir FK,35.0,78.0,78.5,78.14,36.0,37.0,38.0,77.76,77.45,77.18
Mathieu Valbuena,29.0,81.0,30.0,81.0,31.0,79.0,32.0,81.0,33.0,81.0,34.0,80.0,M. Valbuena,Midfielder,Olympiacos CFP,35.0,79.0,79.5,79.13,36.0,37.0,38.0,78.75,78.43,78.15
Stephan El Shaarawy,21.0,80.0,22.0,80.0,23.0,81.0,24.0,80.0,25.0,81.0,26.0,82.0,S. El Shaarawy,Midfielder,Shanghai Greenland Shenhua FC,27.0,79.0,80.5,80.49,28.0,29.0,30.0,80.48,80.53,80.62
Daniel Parejo Muñoz,25.0,80.0,26.0,82.0,27.0,82.0,28.0,82.0,29.0,86.0,30.0,86.0,Parejo,Midfielder,Villarreal CF,31.0,85.0,85.5,85.21,32.0,33.0,34.0,84.98,84.81,84.68
Eliaquim Mangala,23.0,80.0,24.0,80.0,25.0,80.0,26.0,78.0,27.0,77.0,28.0,76.0,E. Mangala,Defender,Valencia CF,29.0,74.0,75.0,74.93,30.0,31.0,32.0,74.8,74.73,74.7
Romelu Lukaku Menama,21.0,80.0,22.0,80.0,23.0,84.0,24.0,86.0,25.0,87.0,26.0,85.0,R. Lukaku,Forward,Inter,27.0,85.0,85.0,84.93,28.0,29.0,30.0,84.91,84.95,85.03
